,amount0_mint,amount0_remove,amount1_mint,amount1_remove,amountUSD_mint,amountUSD_remove,amount0_collect,amount1_collect,amountUSD_collect,origin,tickLower,tickUpper,timestamp,block,gasPrice,timestamp_1,OPfirst,OPlast,tx_mint_id,tx_burn_id,fees0,fees1,feesUSD,liquidity_PnL,operation_PnL,feesUSD_ac,liquidity_PnL_ac,operation_PnL_ac,date,feesUSD_ac_pool,pool_name
0,-0.0,2.848817607876839,-79999.999999,73171.40025,-80019.15555097065,80018.47292773287,2.85024272924146,73171.40025,80021.88941207291,0x747a1a613f9c38bac3acf573a72081e05ed0ddcc,-198510,-198500,1623499939,12619579,0,2021-06-12 12:12:19,Mint,Burn,0x2e784c317518c718d421c7e5347c5609d296b5a9bf1c5d599eca4c490365a76b,0x9bf7f089795ea0ff498a051bd88b5d4818a0edd14621abef5862110fe1d1e80e,0.0014251213646208072,0.0,3.4164843400358222,-0.6826232377788983,2.733861102256924,3.4164843400358222,-0.6826232377788983,2.733861102256924,2021-06-12,82641.0498948819,WETH-USDT-500
1,-0.0,10.311259962152521,-113240.872781,89304.702682,-113261.97087232032,113258.50795371679,10.31641817123814,89304.702682,113270.48252438573,0x62d2ec5840ee59fe51f4c229d777897de4a22da5,-198830,-198820,1623565408,12624466,0,2021-06-13 06:23:28,Mint,Burn,0x8c433e7bb34878ceb25f3f149105f793149fff0662b4b856b1864ff4d92f8e6f,0x898a76f9f17ab213c3669d6905105c3a43a098628e4b4e424d35ba80014d896e,0.005158209085619703,0.0,11.97457066894276,-3.462918603530852,8.511652065411909,15.391055008978583,-4.1455418413097505,11.245513167668832,2021-06-13,92451.160693762,WETH-USDT-500
2,-131.59403506603212,112.83762040282123,-0.0,48417.514963,-339043.5792011608,339139.0183917403,112.83762040282123,48441.735831,339163.24057134736,0x849275c4a1942f6b39060de790cddb005e9b0ded,-197760,-197750,1623681226,12633129,0,2021-06-14 14:33:46,Mint,Burn,0xa3b47c8e0fe806cbf741ac5adf10cb2bf9753bb75ace69c15735e9d6ef04f188,0xa8916146b05b5647379fe0fc8a82c1d5bf96368790d8860f4bae4009e6208c98,0.0,24.2208679999967,24.22217960708076,95.43919057946187,119.66137018654263,39.613234616059344,91.29364873815211,130.90688335421146,2021-06-14,103043.10403487747,WETH-USDT-500
3,-0.0,8.64854557069838,-5953861.918341,5935730.348431,-5951551.419094817,5951551.472709508,8.652872006701731,5935730.348431,5951560.539536549,0xafc6d6e8efba19b08faa0fb9493d61270fb3489b,-199850,-199840,1624918901,12725206,0,2021-06-28 22:21:41,Mint,Burn,0xf2a75cc912b880e7fa665e2ad15ba46b630116518dabe2b089665407ea2f3dec,0xa09b22ead3f2d021c923ddf0690818422be2483574ca04c6aacf3cf041637e18,0.004326436003351475,0.0,9.066827041096985,0.05361469089984894,9.120441731996834,48.68006165715633,91.34726342905196,140.0273250862083,2021-06-28,337492.3962003774,WETH-USDT-500
4,-0.0,13.963062657258245,-12561816.432679,12532219.264,-12557700.486931048,12557680.738813093,13.970047681098794,12532219.264,12557695.530070167,0xafc6d6e8efba19b08faa0fb9493d61270fb3489b,-199740,-199730,1624926860,12725806,0,2021-06-29 00:34:20,Mint,Burn,0xd48fdc8fc5acb1d18f0c2b3bda997971e7953f080bd1e37ee1dd1a4ee2d83a9f,0xe2966c4b3c0c8dc6f00ddf4bdcc2a0a9b7958321ba5b8fe2d7d115fe494477ba,0.0069850238405493315,0.0,14.79125707410276,-19.74811795540154,-4.95686088129878,63.47131873125909,71.59914547365042,135.0704642049095,2021-06-29,359529.18940845586,WETH-USDT-500
5,-0.0,12.320246205956007,-12625819.58983,12599678.529323,-12604417.140978813,12604455.86745408,12.326409410661336,12599678.529323,12604468.941728415,0xab84802093563270e0c963a47c195112c5c1219a,-199730,-199720,1624931637,12726162,0,2021-06-29 01:53:57,Mint,Burn,0x9c7a731caea860d36a5118abd0b2ef6e60e943d2e5a4e623c70966605343f990,0xf4c859f23cba7e2f9a64b1b7ffb772e8776859c13f325ee45f6e0248befd4182,0.006163204705329051,0.0,13.074274335056543,38.726475266739726,51.80074960179627,76.54559306631563,110.32562074039015,186.87121380670578,2021-06-29,359529.18940845586,WETH-USDT-500
6,-1896.189508135019,1882.5033157254204,-0.0,28209.446365,-3910413.5520429867,3910473.2615214675,1882.5033157254204,28223.558144,3910487.4106140607,0xed61c2fd074297f0761f758e10e8422e607cf17a,-200010,-200000,1625197009,12745818,0,2021-07-02 03:36:49,Mint,Burn,0x34a0aaa1cb75203ceefe9d4d09cd1a6b9b49301043809973e7d4da60e7ced307,0xc6fb5f87b1018d7d02bc54307b83069570e942dd8c97e4bf8126e685aef31555,0.0,14.111778999998933,14.149092593230307,59.70947848074138,73.85857107397169,90.69468565954594,170.03509922113153,260.72978488067747,2021-07-02,419820.4651320883,WETH-USDT-500
7,-0.0,6.2181110364838315,-8813009.63879,8800218.772264,-8812590.591403244,8812605.487882616,6.221221647307485,8800218.772264,8812611.893662915,0xf431b970204ceca4b9e169732a8d3222f78b14f1,-200040,-200030,1625215677,12747191,0,2021-07-02 08:47:57,Mint,Burn,0x8320d25bbd0292f638a820ae0d674f38eb3237deac55f771e596fb55aa267c3b,0xe1566549df4b2fac71945f194e253199202b391d0d46272c195be38f50c5e51f,0.0031106108236533814,0.0,6.405780298635364,14.89647937193513,21.302259670570493,97.1004659581813,184.93157859306666,282.03204455124796,2021-07-02,419820.4651320883,WETH-USDT-500
8,-6453.709212481782,6442.751847986979,-0.0,22903.225583,-13516074.72085001,13516034.016808882,6442.751847986979,22914.682924,13516045.476251064,0x3f5a8739d0a96f207cc67cb32b83ad370da9ee6b,-199870,-199860,1625253305,12750033,0,2021-07-02 19:15:05,Mint,Burn,0x0306a6da94c10065a4a096c64b3f8429be0b28cb84e668c488d483cc9cacc28e,0x554defbc763300061f0fee53f19141baa73582fa75d94333b94083b35ad297b7,0.0,11.457341000001179,11.459442181512713,-40.70404112711549,-29.244598945602775,108.55990813969402,144.22753746595117,252.7874456056452,2021-07-02,419820.4651320883,WETH-USDT-500
9,-0.0,7.148027281466716,-5756273.88789,5741347.953124,-5756821.199804413,5756839.6852012705,7.15160308300822,5741347.953124,5756847.161859267,0xafc6d6e8efba19b08faa0fb9493d61270fb3489b,-199890,-199880,1625259425,12750504,0,2021-07-02 20:57:05,Mint,Burn,0x173b3c4a1f6532533cddc31a96f7e6725fa11654c15c6c02b8816c4edd3c6eed,0xba7511d4d176993bcc3984f38471abb6a0025d637427e3924a960a3780429dbc,0.0035758015415039424,0.0,7.4766579968854785,18.485396857373416,25.962054854258895,116.0365661365795,162.7129343233246,278.7495004599041,2021-07-02,419820.4651320883,WETH-USDT-500
10,-7892.735331833878,7884.297742284164,-0.0,17813.593117,-16640225.687769242,16640245.798761912,7884.297742284164,17822.504369,16640254.707741657,0xafc6d6e8efba19b08faa0fb9493d61270fb3489b,-199770,-199760,1625264646,12750882,0,2021-07-02 22:24:06,Mint,Burn,0xd7acae873cd431c7c62257561c7ce03ad6f1cc277746c65d5d7a643337a3f8ca,0x326a4f966ec214efb4fc981b3d0704e3ff82058c3756f26d7a1de665170f2671,0.0,8.911251999998058,8.908979745581746,20.110992670059204,29.01997241564095,124.94554588216124,182.8239269933838,307.76947287554503,2021-07-02,419820.4651320883,WETH-USDT-500
11,-0.0,13.861817162992867,-9775705.05711,9745031.566125,-9774968.351190057,9774959.459245505,13.868751538762249,9745031.566125,9774974.798058642,0x96f1f7312cf0aa58380a2955ec6eda7e2194361a,-199310,-199300,1625371547,12758833,0,2021-07-04 04:05:47,Mint,Burn,0xa5e5facea096aba79da1b7b08d93e0d295e204866435324fe5e5fe4a2c7f1235,0x17803512cfeb0716e4904baa59246d31cefbda175bed43e116a99fdbb4ce49c3,0.0069343757693811625,0.0,15.33881313726306,-8.891944551840425,6.446868585422635,140.2843590194243,173.93198244154337,314.21634146096767,2021-07-04,456955.3383111343,WETH-USDT-500
12,-0.0,11.526607295368953,-6117691.803571,6090985.067273,-6118698.297163688,6118712.382819834,11.532373482110007,6090985.067273,6118725.752112377,0xa6a689acd5c3dbb53285a37a8ff268d6f32936f7,-198850,-198840,1625393120,12760413,0,2021-07-04 10:05:20,Mint,Burn,0x5402059bf4b93bebe4cb72ad7121528cd229c1f0db22ab2416762df8a1142bca,0x71ba3f4d18a4c8784f3746c4ff5b0550e3e31240ef15c0628e5a8061da93c138,0.0057661867410541134,0.0,13.369292543269694,14.085656146518886,27.45494868978858,153.653651562694,188.01763858806225,341.67129015075625,2021-07-04,456955.3383111343,WETH-USDT-500
13,-4689.863039671725,4684.535818678382,-0.0,12542.080757,-11035586.690833466,11035591.793649169,4684.535818678382,12548.354934,11035598.067004796,0x74148554ab64b104264b533e7d1d379fa27a288e,-198680,-198670,1625433309,12763397,0,2021-07-04 21:15:09,Mint,Burn,0xdbabe85ca7eb6233b6e60f0fc917f04e3498350f96701aa023ea57f3517c9e8c,0x04ac8c4d8da0f6b0548a944be974eb33a20d70a6f301cb50e10a7bbfeccff162,0.0,6.274177000001146,6.2733556274324656,5.102815702557564,11.37617132999003,159.92700719012646,193.12045429061982,353.0474614807463,2021-07-04,456955.3383111343,WETH-USDT-500
14,-348.2074287352914,336.0098292164679,-6431378.728849,6460265.576957,-7256600.234036791,7256548.135624308,336.0098292164679,6460280.027606,7256562.584471635,0x74148554ab64b104264b533e7d1d379fa27a288e,-198630,-198620,1625438613,12763804,0,2021-07-04 22:43:33,Mint,Burn,0x1dab9f8ea881126343c8f0453d6a00e750215feacf2a5d74b53561b43c04a072,0x8e7fd2a2c316e71b79364a3aa33eaa458f9763ecf10b05de922075fefe335b84,0.0,14.450648999772966,14.44884732645005,-52.098412482999265,-37.649565156549215,174.3758545165765,141.02204180762055,315.39789632419706,2021-07-04,456955.3383111343,WETH-USDT-500
15,-0.0,3.0027584595675827,-6982030.124502,6975086.728958,-6988604.795992853,6988607.379043234,3.004260589862514,6975086.728958,6988610.857040675,0x3203828d472a6b86b2508ab8dba8a0174d5ac9e2,-198870,-198860,1625447308,12764450,0,2021-07-05 01:08:28,Mint,Burn,0x25f564aa042e3d363dcfb60cae94cca5b14782e4283807cb2f60e8d66df8f081,0xdae25a17c422a7da7aaba2f5da67abf973e2a35c84a0d4ad91520a4a8340c4a5,0.001502130294931181,0.0,3.477997441776097,2.583050380460918,6.061047822237015,177.8538519583526,143.60509218808147,321.4589441464341,2021-07-05,472769.20037537423,WETH-USDT-500
16,-0.0,11.082856267960128,-9544034.762785,9518889.761073,-9544108.57183636,9544091.781963732,11.088400468194227,9518889.761073,9544104.352452125,0x73c2aefe92b8031dd9e52228b788aa1ca38c93a2,-199060,-199050,1625472073,12766290,0,2021-07-05 08:01:13,Mint,Burn,0xe46c5a5a2cf8bf30e0733633832f4b9cf90998e2b0cc756e3b1bfdfd2025a74e,0xfbca523b5a4c141b989b5a7c62439634e6d7fee051cb3e3e4e4fb7269aaac0aa,0.005544200234098184,0.0,12.570488393306732,-16.789872627705336,-4.219384234398603,190.42434035165934,126.81521956037614,317.2395599120355,2021-07-05,472769.20037537423,WETH-USDT-500
