,amount0_mint,amount0_remove,amount1_mint,amount1_remove,amountUSD_mint,amountUSD_remove,amount0_collect,amount1_collect,amountUSD_collect,origin,tickLower,tickUpper,timestamp,block,gasPrice,timestamp_1,OPfirst,OPlast,tx_mint_id,tx_burn_id,fees0,fees1,feesUSD,liquidity_PnL,operation_PnL,feesUSD_ac,liquidity_PnL_ac,operation_PnL_ac,date,feesUSD_ac_pool,pool_name
0,-60.222776104141666,43.105072338425586,-11382.967642,51332.231756,-151930.9292818205,152011.04159392876,43.105072338425586,51452.440173,152131.27059504623,0xdd3798d266ef7a1be8ba0628f2591dcc49c86465,-198780,-198720,1623556028,12623820,0,2021-06-13 03:47:08,Mint,Burn,0xf22355d516a618624a2157728b89649e902d11e94d0256c1eebe8111e0d54ebf,0x4b841826147e9e5de8d243a4081afad62c1febcb6567ac1852b727743c6c4880,0.0,120.20841700000165,120.22900111746276,80.11231210824917,200.34131322571193,120.22900111746276,80.11231210824917,200.34131322571193,2021-06-13,3230162.4874913776,WETH-USDT-3000
1,-28.077186416004203,42.33696227248708,-89304.702682,55571.167444,-155785.48241280223,155879.62432915936,42.3798703242117,55571.167444,155981.20649830712,0x34384ad7a24dc1fd31921b011f9bc9a95144b9eb,-198660,-198600,1623584144,12625901,0,2021-06-13 11:35:44,Mint,Burn,0xb2a563563d5abf4c76e8480810f5e9537d086423acb68061f96537da03045d3f,0xf12bf058954e376aab68fb1f50c7402212ba85ce7fe8ed1fcd416ae5efd19541,0.04290805172462342,0.0,101.5821691477613,94.14191635712632,195.72408550488763,221.81117026522406,174.2542284653755,396.06539873059955,2021-06-13,3230162.4874913776,WETH-USDT-3000
2,-146.6994687352139,182.79453925735578,-156153.062739,68294.798906,-513225.7700756246,512785.1693923527,182.9031503020563,68294.798906,513049.2894979495,0xa8a2ebe2f596f17bf3cd80b016dc5e532ac32b6f,-198360,-198300,1623610503,12627887,0,2021-06-13 18:55:03,Mint,Burn,0x786888f4de550a12984c5afb070d79cf78429b0c8e105f7a86062891d5d0e7f0,0x58830de63f7cd370cecaf26d2dbdba162b88f4b611c4096a213dbe3e6bddc07c,0.10861104470052396,0.0,264.1201055967831,-440.6006832718849,-176.4805776751018,485.93127586200717,-266.3464548065094,219.58482105549774,2021-06-13,3230162.4874913776,WETH-USDT-3000
3,-41.72705069413184,61.379956690492314,-399999.999999,353982.108278,-498181.85102049157,498375.28184668114,61.439092816860494,353982.108278,498514.3513213623,0x7dfdc231d7e20ea568008da65022cde481da1d82,-198780,-198720,1623970245,12654737,0,2021-06-17 22:50:45,Mint,Burn,0xe610dc90473bd0ac5ac074c646cc1dce228e171cbb8d6a37f96145f2d950a36b,0xa27c53242b316b70b647c39ebf508107b04ccc1f8f51ab0014a9162458c56e50,0.05913612636818044,0.0,139.06947468116414,193.4308261895785,332.50030087074265,625.0007505431713,-72.91562861693092,552.0851219262404,2021-06-17,3980641.0834533554,WETH-USDT-3000
4,-312.56331138092554,376.2278662531065,-176700.182934,29090.418592,-900680.7509007169,900511.2100356597,376.4194346228323,29090.418592,900954.9196791854,0x079c8d8fd8731ce2a284ef149d32e8e61cf21470,-198840,-198780,1623983113,12655754,0,2021-06-18 02:25:13,Mint,Burn,0x8d2f965f8ffd3a9f3b9a121687bf843aa66e0a48c0f7c2aea71b8c2c285b8ff8,0x5360142fd8808b94b8de6714dd9bd3a45815d4c9ea1f16517a29f11579cb0451,0.19156836972575775,0.0,443.7096435256535,-169.54086505714804,274.1687784685055,1068.7103940688248,-242.45649367407896,826.2539003947459,2021-06-18,4138063.622266911,WETH-USDT-3000
5,-13.74750665215346,23.995951838815557,-206372.343936,182510.501183,-238454.93553010246,238486.61032964403,24.026789687922864,182510.501183,238558.5159872966,0x0ce93110c08c8e046e9d02e340c9ab744f185266,-198840,-198780,1623999344,12656983,0,2021-06-18 06:55:44,Mint,Burn,0x1886b50edb64d755c73305bcb543a137155062292273c0bcd09eb47bbb234d55,0xb613104ee656ce7b4fc8ace76932e9dd0b229d3151014613e778d082305e1229,0.030837849107307136,0.0,71.90565765256179,31.674799541564425,103.58045719412621,1140.6160517213866,-210.78169413251453,929.8343575888721,2021-06-18,4138063.622266911,WETH-USDT-3000
6,-24.392253868294834,11.244237754975167,-399999.999999,430814.422061,-457226.8032882541,457226.47452882834,11.244237754975167,430907.143491,457319.20795550337,0x7dfdc231d7e20ea568008da65022cde481da1d82,-198780,-198720,1624007714,12657593,0,2021-06-18 09:15:14,Mint,Burn,0xc00e09fcba49ab347ee20b98d5bc0062be535697f4496a2845e84da5e35c14af,0x00f0ba2292d47b0f7738bf07bb9eb6f3960a640090cb8998a85932a22c5a55b0,0.0,92.72142999997595,92.73342667502584,-0.32875942572718486,92.40466724929865,1233.3494783964125,-211.11045355824172,1022.2390248381707,2021-06-18,4138063.622266911,WETH-USDT-3000
7,-92.60356282758028,115.47685969915086,-430907.143491,379589.253992,-638764.8129345985,638760.7362671798,115.54568606887474,379589.253992,638915.1678559647,0xc79bc6786948de00a17c92f985c9ff820239c170,-199200,-199140,1624095673,12664049,0,2021-06-19 09:41:13,Mint,Burn,0x87e8c5e30f930ed04e4998a1acfae4825e9ce922e214bb7f5de85605cc4874e6,0xfd91a43120f874d0bf6ea5eef13a1201b7ade73464ff1ee59171e73c5ea38d1d,0.06882636972387957,0.0,154.43158878490794,-4.076667418703437,150.3549213662045,1387.7810671813204,-215.18712097694515,1172.5939462043752,2021-06-19,4396971.909572174,WETH-USDT-3000
8,-200.87782532635353,151.03238864698403,-379589.253992,490679.717362,-827280.7974296756,827316.6981456032,151.03238864698403,491013.991574,827651.0289511902,0x079c8d8fd8731ce2a284ef149d32e8e61cf21470,-199260,-199200,1624108344,12664998,0,2021-06-19 13:12:24,Mint,Burn,0xe9e06c6e98aad0172aa62f52f5b5b04157a2e2d0a032a197ad54713fa468b949,0x4939cdd03fe9f1a6dae87db9adcb8f71312865ade497e5433cc14c76fcf59640,0.0,334.27421199996024,334.3308055870002,35.90071592759341,370.2315215145936,1722.1118727683206,-179.28640504935174,1542.8254677189689,2021-06-19,4396971.909572174,WETH-USDT-3000
9,-103.60127102290187,150.50530882075913,-491013.991574,396553.936572,-698696.5054736792,698201.3690003549,150.64644434071258,396553.936572,698484.1677591841,0x854b21385544c44121f912aedf4419335004f8ec,-200280,-200220,1624269561,12676962,0,2021-06-21 09:59:21,Mint,Burn,0xff5d8b36efe6a70b602b0d41f7b1fea05bcfa4e6c42e88f40cb098ce554f7b11,0xfb9b2da6a434e3fca3c15c8a14a4ed63bc47ba02a26876b6296cf3b5c6a4340c,0.1411355199534512,0.0,282.79875882924534,-495.13647332426626,-212.33771449502092,2004.910631597566,-674.422878373618,1330.487753223948,2021-06-21,4769909.141204769,WETH-USDT-3000
