,amount0_mint,amount0_remove,amount1_mint,amount1_remove,amountUSD_mint,amountUSD_remove,amount0_collect,amount1_collect,amountUSD_collect,origin,tickLower,tickUpper,timestamp,block,gasPrice,timestamp_1,OPfirst,OPlast,tx_mint_id,tx_burn_id,fees0,fees1,feesUSD,liquidity_PnL,operation_PnL,feesUSD_ac,liquidity_PnL_ac,operation_PnL_ac,date,feesUSD_ac_pool,pool_name
0,-0.0,38351.945134,-15.0,0.0,-38322.6587483564,38351.945134,38371.130699,0.0,38371.130699,0x6498889fa8eb4b8795489c1cd075e08cafe5655b,197850,197860,1623330636,12606964,0,2021-06-10 13:10:36,Mint,Burn,0x7995e313c48071ae73a746cba12a2b69f619400be84c471a900686c78811deb7,0x686998cd6656e615e1d63f4dbb776139fdc45662c0b910ae616f6b47952c88a4,19.18556499999977,0.0,19.18556499999977,29.286385643601534,48.4719506436013,19.18556499999977,29.286385643601534,48.4719506436013,2021-06-10,342051.7916433727,USDC-WETH-500
1,-59999.999999,0.0,-0.0,23.916977592468438,-59999.999999,60105.4220316511,0.0,23.928942063500187,60135.48977653937,0xbcbbead5fcd3bace87f0e7f4aff3008c399cb307,198040,198050,1623338030,12607512,0,2021-06-10 15:13:50,Mint,Burn,0x78bcc0713b7de01beeb2618fb01a93b4c46dd2a622f58a467fe6572a10f5629d,0x10805dab536caa0af9432a9a77c81b50cc6fda34f652d9b548ce6ebc16dcedf4,0.0,0.011964471031749468,30.06774488827068,105.42203265109856,135.48977753936924,49.25330988827045,134.7084182947001,183.96172818297055,2021-06-10,342051.7916433727,USDC-WETH-500
2,-59999.999999,0.0,-0.0,23.89307376395362,-59999.999999,60050.550781475715,0.0,23.905026277092166,60080.59107701422,0xbcbbead5fcd3bace87f0e7f4aff3008c399cb307,198030,198040,1623338169,12607524,0,2021-06-10 15:16:09,Mint,Burn,0xc3d132f9d55c34ace98b10277b63bfe548f6ec7d8081e30b88d33eba171e086c,0x25c3f745fc64e04f9e9f03edf48cc2c078c695fc585471dd8684d700920820b7,0.0,0.01195251313854584,30.040295538507053,50.550782475715096,80.59107801422215,79.2936054267775,185.2592007704152,264.5528061971927,2021-06-10,342051.7916433727,USDC-WETH-500
3,-59999.999999,16615.403284,-0.0,17.587864339040447,-59999.999999,60008.93080329351,16615.403284,17.596662670375636,60030.63842086194,0x747a1a613f9c38bac3acf573a72081e05ed0ddcc,198210,198220,1623348404,12608297,0,2021-06-10 18:06:44,Mint,Burn,0xf7867fa19aa65298fadb8d4f72d0daed5e836f3ba01f0b9b9631cdc6c36bed40,0x7bf653aa919a499a70e90737714e7fdb0ce64df85e66c3675c2e32787d5d4b31,0.0,0.008798331335189147,21.707617568434216,8.930804293508118,30.638421861942334,101.00122299521172,194.1900050639233,295.191228059135,2021-06-10,342051.7916433727,USDC-WETH-500
4,-59999.999999,6994.902102,-0.0,21.57580933661476,-59999.999999,60100.247334219355,6994.902102,21.586602637933726,60126.81328981326,0x6498889fa8eb4b8795489c1cd075e08cafe5655b,198250,198260,1623353814,12608718,0,2021-06-10 19:36:54,Mint,Burn,0x2941a0004738888c444c9e0940fa891628d888400be47292dde93cb4bef0a90a,0x2b51616dc6601de308d120b3bb5f640baf204de5a3552c10b2d7f132ca07a489,0.0,0.010793301318965831,26.565955593905528,100.24733521935559,126.81329081326112,127.56717858911725,294.4373402832789,422.00451887239615,2021-06-10,342051.7916433727,USDC-WETH-500
5,-79999.999999,67578.028749,-0.0,5.079877391711197,-79999.999999,79980.82520139069,67578.028749,5.082418601011702,79987.02970186713,0x6498889fa8eb4b8795489c1cd075e08cafe5655b,198300,198310,1623357882,12609034,0,2021-06-10 20:44:42,Mint,Burn,0x13b0aa3f3fbd8c3672d22bad6b60866c2374cc53a465e803ca2d6954f33d7934,0x3aa25e2dafe5143ba6bc455ae33d9bdbfa31199592b8afb9154383238ac88c36,0.0,0.00254120930050572,6.204500476436806,-19.174797609317466,-12.97029713288066,133.77167906555405,275.26254267396143,409.0342217395155,2021-06-10,342051.7916433727,USDC-WETH-500
6,-67578.028749,21040.929109,-0.0,18.82785444083194,-67578.028749,67597.38406450985,21040.929109,18.837273077370625,67620.67393692382,0x62d2ec5840ee59fe51f4c229d777897de4a22da5,198190,198200,1623362495,12609371,0,2021-06-10 22:01:35,Mint,Burn,0x143e9d0829635f314f674c9246bd30fba30243736eb99c912783aff13ea5b0c8,0xf495d6bc066b54b0285518843f0d639c80c5b2d68ce40bdc93d410e8e31ee817,0.0,0.009418636538686798,23.289872413966805,19.35531550984888,42.64518792381568,157.06155147952086,294.6178581838103,451.67940966333117,2021-06-10,342051.7916433727,USDC-WETH-500
7,-79999.999999,21902.408065,-0.0,23.458447442678995,-79999.999999,80088.21398242518,21902.408065,23.47018253394597,80117.32143911223,0x97ce0c27f4fe6d82aa671e6cf96ee4a46181bd99,198170,198180,1623363250,12609430,0,2021-06-10 22:14:10,Mint,Burn,0x33975cbd4b9d0b9099bd52434d9a19cd4dd346dfa6c3ce1d2fe4070ed3bb8ee1,0xbdaee99bac538d3e84816279596c1cd48942d1c61b008aaa7f98210e0dcf18bb,0.0,0.011735091266974251,29.107456687052036,88.21398342517205,117.32144011222408,186.1690081665729,382.83184160898236,569.0008497755553,2021-06-10,342051.7916433727,USDC-WETH-500
8,-976.979943,52465.235252,-34.93909734526434,14.059129238019095,-87166.97892445509,87147.19405392805,52490.992258,14.059129238019095,87172.95105992805,0x2c24d395f7bc0a10be004421def4d22cedeef936,198210,198220,1623404766,12612542,0,2021-06-11 09:46:06,Mint,Burn,0x0413b3a9c436e55c8aa33ba8a7f1f54fc2caf02930097a04359eb1e783af2b81,0xaa840190e6a3edea8cd622cdb3857eb32494143d1165a024a001e376cac47299,25.75700599999982,0.0,25.75700599999982,-19.784870527044404,5.972135472955415,211.9260141665727,363.04697108193795,574.9729852485107,2021-06-11,421352.69574453123,USDC-WETH-500
9,-0.0,66058.773169,-36.0,9.346563720983744,-88848.04318557872,89146.73350511513,66091.819078,9.346563720983744,89179.77941411512,0xbcbbead5fcd3bace87f0e7f4aff3008c399cb307,198160,198170,1623407170,12612709,0,2021-06-11 10:26:10,Mint,Burn,0x14a1fb1e4df58ed24a6d6fb698dbd82fa91c8694fed9543338705583fd48a0e3,0xfb5be6e88d52b64843be11b630c6765e2a5c5ff4c0ac2d751273216907323a5e,33.04590900000767,0.0,33.04590899999312,298.6903195364139,331.736228536407,244.97192316656583,661.7372906183518,906.7092137849177,2021-06-11,421352.69574453123,USDC-WETH-500
