,amount0_mint,amount0_remove,amount1_mint,amount1_remove,amountUSD_mint,amountUSD_remove,amount0_collect,amount1_collect,amountUSD_collect,origin,tickLower,tickUpper,timestamp,block,gasPrice,timestamp_1,OPfirst,OPlast,tx_mint_id,tx_burn_id,fees0,fees1,feesUSD,liquidity_PnL,operation_PnL,feesUSD_ac,liquidity_PnL_ac,operation_PnL_ac,date,feesUSD_ac_pool,pool_name
0,-0.0,45432.79589974733,-615.6691030694521,591.7123484658956,-1163355.5843220535,1163569.4257409507,45569.50441298629,591.7123484658956,1163706.2823969668,0xb44ce028859d4a30c0db14450d1626c996e6a1df,-75540,-75480,1624400295,12686704,0,2021-06-22 22:18:15,Mint,Burn,0xd6778d91cd5696f8404007a70bb264aed124b96e2ac15d1bfd22b84cd9a49cb8,0x571b15f3e1221c4463e574e4c6dc14b995a398298218dbb4ced485766e23dfde,136.70851323895477,0.0,136.85665601608343,213.84141889726743,350.69807491335087,136.85665601608343,213.84141889726743,350.69807491335087,2021-06-22,2069000.9074064018,DAI-WETH-3000
1,-9477258.706624819,9485125.337726453,-9119.662319250778,9115.878373441852,-28450539.76259814,28450543.515974086,9485149.008632476,9115.878373441852,28450567.206035864,0xb8eca696084e93395684de346da55852e96a8f9e,-76440,-76380,1624924761,12725646,0,2021-06-28 23:59:21,Mint,Burn,0xa4350ed15f9be35ec7a626a8c2636bc0d10827654c58ce16bdaf9211d95e03d7,0x692826b3923113a1081833d8691408e36372c74b4b757c92ad85d95f0ce3e0f6,23.670906022191048,0.0,23.690061777830124,3.7533759474754333,27.443437725305557,160.54671779391356,217.59479484474286,378.1415126386564,2021-06-28,2249143.4714646316,DAI-WETH-3000
2,-6403725.551824288,6454278.365444648,-1938.5628481427202,1915.8357251961675,-10731379.753310632,10731303.960512254,6454430.480229865,1915.8357251961675,10731456.205460925,0x73c2aefe92b8031dd9e52228b788aa1ca38c93a2,-77100,-77040,1624975031,12729347,0,2021-06-29 13:57:11,Mint,Burn,0xd5570d583732ed21b9d1fa51e95d846e4f1039620aa0888f12c8810204aecaae,0xfcc85c7f77a327fdbe6303456a15f2714ffb62da2ab50b8388c4aab2cae253ca,152.11478521674871,0.0,152.24494867026806,-75.79279837757349,76.45215029269457,312.7916664641816,141.80199646716937,454.593662931351,2021-06-29,2281286.2742286613,DAI-WETH-3000
3,-9347471.046949837,9232171.7653334,-1349.5461021294798,1401.9585852804873,-12322737.4517495,12322599.877739843,9232171.7653334,1402.116295861684,12322946.684634488,0x727b3853727af4d9cda45ee5baf83ba30d7044c7,-76980,-76920,1625004954,12731538,0,2021-06-29 22:15:54,Mint,Burn,0xaa123395d85f21e4b5fcb3cf0e81b7257f6924f6862ccc888879bb692b99d33a,0xa6780f994483425dafee49f32bde749c5a148e7961ab47274c832ddb3fae8b7e,0.0,0.15771058119662484,346.80689464509487,-137.57400965690613,209.23288498818874,659.5985611092765,4.227986810263246,663.8265479195397,2021-06-29,2281286.2742286613,DAI-WETH-3000
4,-9823736.926205968,9708479.368539903,-2276.637681899729,2329.693293787074,-14779369.349376718,14779298.096343689,9708479.368539903,2329.8529395600544,14779645.042655323,0xe38e793d2ffae9351be8e1437e15b91132542da3,-76860,-76800,1625008736,12731842,0,2021-06-29 23:18:56,Mint,Burn,0x7fdd661aeb2418ad9ac0b405bcbfdcc98e07bbde8949e45b5b5d3ef99644b29d,0x388088e23712f1248aecc0b4440d3830be61efc62386170c2286f4f834cf6ace,0.0,0.15964577298063887,346.9463116340339,-71.25303302891552,275.6932786051184,1006.5448727433104,-67.02504621865228,939.5198265246581,2021-06-29,2281286.2742286613,DAI-WETH-3000
5,-1214628.485341365,1148300.022548424,-4255.9230848946645,4286.740363345402,-10380060.29232814,10380037.975722458,1148300.022548424,4286.83309337083,10380237.654894752,0x8326045d014f3be993db68ac8a79c712fdb06f6f,-76800,-76740,1625011914,12732099,0,2021-06-30 00:11:54,Mint,Burn,0x095b8abd9eba8abf7b52dd5a2ccb269ff91c72477684348d148414b2db20eb5c,0x3e8961a403df7bd755f7e50aa5da5a53fa65ba4a815c508606bf59f2cf06bce3,0.0,0.09273002542795439,199.67917229421437,-22.316605681553483,177.36256661266088,1206.2240450375248,-89.34165190020576,1116.882393137319,2021-06-30,2332793.7232977482,DAI-WETH-3000
6,-8426238.47385348,8450454.0785318,-3733.3111574066847,3722.3528106037493,-16709930.62402417,16709873.329093885,8450526.943942066,3722.3528106037493,16709946.253934363,0x77acb631b54ed64d45a4f4dcc028796fe6053530,-77040,-76980,1625119051,12740033,0,2021-07-01 05:57:31,Mint,Burn,0x62ccd5d692f497e082fe95ac2d44f79eb424de5bfa7501b939decd51ffed41fb,0x68d725acd83cd2e9db875631a4e193703e04577ffea8ba165eff019b838ee9d6,72.86541026644409,0.0,72.92484047822654,-57.29493028484285,15.629910193383694,1279.1488855157513,-146.6365821850486,1132.5123033307027,2021-07-01,2401944.5097340676,DAI-WETH-3000
7,-3294363.291489138,3274334.004686773,-1989.1002706821778,1998.5003508793134,-7531065.369738495,7531029.281867426,3274334.004686773,1998.5286359751924,7531089.490343124,0x77acb631b54ed64d45a4f4dcc028796fe6053530,-76680,-76620,1625126730,12740588,0,2021-07-01 08:05:30,Mint,Burn,0xfe1bee3a77970f946599dbf6bcfc5d88e7e665eac41ce2f9f82389e0017d4856,0x3a04e16c626fa09e1c6fb4d69f1ecd97bb9c98a50526d1ef71e77b5dfe45f820,0.0,0.028285095879027722,60.208475697785616,-36.08787106908858,24.120604628697038,1339.357361213537,-182.7244532541372,1156.6329079593997,2021-07-01,2401944.5097340676,DAI-WETH-3000
8,-4410309.182683362,4356433.077523424,-6834.854136812804,6860.629490750316,-18704904.83645851,18704878.89667073,4356433.077523424,6860.707049488343,18705041.064551726,0xafc6d6e8efba19b08faa0fb9493d61270fb3489b,-76500,-76440,1625257260,12750318,0,2021-07-02 20:21:00,Mint,Burn,0x8084ff4dc90fa608db00d8be73c63a0dc5c64a9f8b38361796ad1506e8bc67c5,0xb195109731b47cecb9654ec00a661e676933f7e0875e22dc6dffba199c382175,0.0,0.07755873802670976,162.16788099706173,-25.939787782728672,136.22809321433306,1501.5252422105987,-208.66424103686586,1292.8610011737328,2021-07-02,2444069.8510304065,DAI-WETH-3000
9,-8105126.991581631,8154228.031302808,-4806.445901879526,4783.402941885024,-18367299.032808825,18367272.71749782,8154375.777661046,4783.402941885024,18367420.583671715,0x2ae32148f41d2ccb14db479d79bde08967a8c796,-76680,-76620,1625288513,12752653,0,2021-07-03 05:01:53,Mint,Burn,0xe0b3dbe0bf82a29a6b1c168c52fdd51975394db718e0fe2c4b361a3376a6b083,0x1627e7e67160b6c211786ff2f4209a4a19719ac010aa9b6cc92bc6b8dda13b31,147.7463582381606,0.0,147.86617389693856,-26.31531100720167,121.55086288973689,1649.3914161075372,-234.97955204406753,1414.4118640634697,2021-07-03,2473107.661647401,DAI-WETH-3000
10,-6696997.337834766,6810484.84703205,-3176.321539499533,3124.0291679257716,-13585724.662312688,13585992.831054665,6810826.334020607,3124.0291679257716,13586334.597026693,0x8326045d014f3be993db68ac8a79c712fdb06f6f,-76860,-76800,1625297559,12753295,0,2021-07-03 07:32:39,Mint,Burn,0x318cf7bfe60e54dd61170db7e83c3079bd51f5a295a59f7bf9d57e5fd81f5a48,0xac8a295beaec4919e23ee66f305a4e5496461744d555fb06b377cccf4c34908c,341.4869885575026,0.0,341.7659720275551,268.1687419768423,609.9347140043974,1991.1573881350923,33.18918993277475,2024.346578067867,2021-07-03,2473107.661647401,DAI-WETH-3000
